Study,Month,Year,Date,Lat,Long,Top20m_Temp,Top20m_Salinity,NEAR_DIST,MarketSquid,JackMackerel,NorthernAnchovy,PacificMackerel,PacificHerring,PacificSardine,PacificSaury
SWFSC,June,2012,2012-06-13,42.5,-124.4917,8.282325029,33.79544983,4187.203113,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-13,42.5,-124.5417,8.702675056,33.69749985,6872.117871,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-13,42.5,-124.6,9.072720051,33.51915493,10391.01184,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-15,41.9,-124.445,7.6700842,33.9261051,9045.058917,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-15,41.9,-124.3542,7.22373004,34.0153904,7176.373014,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-15,41.9,-124.2717,7.407868436,33.99505796,5247.53578,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-16,41.5833,-124.1583,8.296364999,33.68693523,3978.049421,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-16,41.5833,-124.2533,8.703584244,33.657858,11752.29194,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-16,41.5833,-124.3433,8.508984995,33.82415009,18361.17744,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-17,41.35,-124.1417,8.528330016,33.69507484,5176.509775,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-17,41.35,-124.2,8.869109964,33.67666016,9416.63973,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-17,41.35,-124.2767,10.03736496,33.55547523,15572.1337,1,0,0,0,1,0,0
SWFSC,June,2012,2012-06-18,41.0583,-124.19,8.190654898,33.7994648,1761.560572,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-18,41.0583,-124.235,8.876484966,33.7982151,5458.685577,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-18,41.0583,-124.2783,9.304884208,33.7602525,9082.818549,1,1,0,0,0,0,0
SWFSC,June,2012,2012-06-18,41.0583,-124.3883,9.428250027,33.67685013,18317.36592,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-19,40.6333,-124.3933,9.019734955,33.83455944,5763.378152,1,0,0,0,1,0,0
SWFSC,June,2012,2012-06-19,40.6333,-124.4467,9.29811041,33.80651052,9923.084971,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-19,40.6333,-124.5133,9.56218996,33.68250504,15171.83351,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-19,40.6333,-124.6233,9.973663079,33.54414729,23550.30167,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-19,40.6333,-124.7333,11.09033158,33.1326318,31586.96601,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-20,40.1333,-124.2333,8.32026843,34.03477378,3005.165254,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-21,38.75,-123.545,9.058615065,34.00101471,1296.533047,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-21,38.75,-123.5683,9.303431712,34.00946848,3037.438819,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-21,38.75,-123.6217,9.324752557,34.00331557,5872.434329,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-21,38.75,-123.7283,9.35500989,33.98524494,12092.18054,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-21,38.75,-123.835,9.04364996,33.81266022,19452.18717,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-22,38.5,-123.2467,10.01078947,33.98796302,861.5690384,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-22,38.5,-123.26,9.859349966,33.9862299,1274.946165,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-22,38.5,-123.3083,10.19210496,33.96380043,4256.291981,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-22,38.5,-123.415,9.691309977,33.93895493,10033.88917,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-22,38.5,-123.5633,9.329684973,33.78011971,20380.18584,0,0,0,0,0,0,0
SWFSC,June,2012,2012-06-23,37.8417,-122.695,11.25327649,33.68337048,5379.828133,1,0,0,0,1,0,0
SWFSC,June,2012,2012-06-23,37.8417,-122.8,10.81643009,33.67862473,9408.015499,1,0,0,0,1,0,0
SWFSC,June,2012,2012-06-23,37.8417,-123.025,11.53838946,33.61506874,10455.41601,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-23,37.8417,-123.1933,10.35377507,33.86722012,10772.01817,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-24,37.5,-122.6067,12.00904994,33.92652531,8146.620577,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-24,37.5,-122.7583,11.01929507,33.84379501,21279.52637,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-24,37.5,-122.905,11.26572499,33.7084547,23164.24018,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-24,37.5,-123.01,11.91544222,33.57907386,21461.75658,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-25,37.1667,-122.4033,11.64232492,33.90431519,1688.289081,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-25,37.1667,-122.4358,12.10319505,33.84608021,3762.413458,1,0,0,0,0,0,0
SWFSC,June,2012,2012-06-25,37.1667,-122.5,11.42285504,33.7091547,9018.414572,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-18,37.8417,-122.8,12.05442991,33.68495026,9408.015499,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-18,37.8417,-122.695,12.83447356,33.50209487,5379.828133,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-19,38.1333,-122.9717,10.03162625,33.7390476,1462.926338,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-19,38.1333,-123.0067,10.34440994,33.73779488,4415.485726,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-19,38.1333,-123.0067,11.06298995,33.59764996,4415.485726,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-19,38.1333,-123.0067,11.06298995,33.59764996,4415.485726,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-19,38.1333,-123.1125,10.44993332,33.65454483,13298.35711,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-20,38.5,-123.2467,9.478189468,33.7550105,861.5690384,0,0,0,0,0,0,0
SWFSC,June,2015,2015-06-20,38.5,-123.26,9.495469999,33.77121544,1274.946165,0,0,0,0,0,0,0
SWFSC,June,2015,2015-06-20,38.5,-123.26,9.684664917,33.79151001,1274.946165,0,0,0,0,0,0,0
SWFSC,June,2015,2015-06-20,38.5,-123.26,9.684664917,33.79151001,1274.946165,0,0,0,0,0,0,0
SWFSC,June,2015,2015-06-20,38.5,-123.3083,9.656604958,33.81451969,4256.291981,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-21,38.75,-123.545,9.27813015,33.86128998,1296.533047,0,0,0,0,0,0,0
SWFSC,June,2015,2015-06-21,38.75,-123.5683,9.853310635,33.75508941,3037.438819,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-21,38.75,-123.5683,9.70302637,33.76464723,3037.438819,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-21,38.75,-123.5683,9.70302637,33.76464723,3037.438819,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-21,38.75,-123.6217,11.03546116,33.65776698,5872.434329,0,0,0,0,0,0,0
SWFSC,June,2015,2015-06-22,39.25,-123.8033,9.445926164,33.81496871,1324.577071,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-22,39.25,-123.8033,9.886405292,33.70182579,1324.577071,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-22,39.25,-123.8033,9.886405292,33.70182579,1324.577071,1,1,1,0,0,0,0
SWFSC,June,2015,2015-06-22,39.25,-123.8292,10.14927367,33.62081608,3230.665388,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-22,39.25,-123.8933,10.22798491,33.58256016,8339.537418,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-23,40.2317,-124.3533,9.413452751,33.72287369,1410.402071,0,0,0,0,0,0,0
SWFSC,June,2015,2015-06-23,40.2242,-124.3792,9.29811573,33.75594772,3369.853506,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-23,40.2242,-124.3792,9.481289412,33.71343151,3369.853506,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-23,40.2242,-124.3792,9.481289412,33.71343151,3369.853506,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-24,40.6333,-124.3933,10.17219463,33.77567853,5763.378152,1,0,0,0,1,0,0
SWFSC,June,2015,2015-06-24,40.6333,-124.3933,10.0672368,33.883774,5763.378152,1,0,0,0,1,0,0
SWFSC,June,2015,2015-06-24,40.6333,-124.3933,10.0672368,33.883774,5763.378152,1,0,0,0,1,0,0
SWFSC,June,2015,2015-06-24,40.6333,-124.4467,10.53308501,33.87586498,9923.084971,1,0,0,0,1,0,0
SWFSC,June,2015,2015-06-24,40.6333,-124.5133,10.91274733,33.84442099,15171.83351,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-25,41.0583,-124.2783,11.35261668,33.55326102,9082.818549,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-25,41.0583,-124.235,9.36268947,33.72823715,5458.685577,1,0,1,0,0,0,0
SWFSC,June,2015,2015-06-25,41.0583,-124.19,9.735533449,33.72719998,1761.560572,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-25,41.0583,-124.19,9.496726237,33.80514747,1761.560572,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-25,41.0583,-124.19,9.496726237,33.80514747,1761.560572,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-26,41.35,-124.1417,10.92860533,33.73268951,5176.509775,1,0,0,0,1,0,0
SWFSC,June,2015,2015-06-26,41.35,-124.2,10.15321044,33.82967899,9416.63973,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-26,41.35,-124.2,11.18393497,33.78488464,9416.63973,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-26,41.35,-124.2,11.18393497,33.78488464,9416.63973,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-26,41.35,-124.2767,10.83093009,33.78453465,15572.1337,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-27,41.5833,-124.1583,11.32252994,33.85366974,3978.049421,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-27,41.5833,-124.2533,10.66933155,33.85460502,11752.29194,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-27,41.5833,-124.3433,10.06362772,33.72162798,18361.17744,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-27,41.5833,-124.3433,11.02575779,33.64861599,18361.17744,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-27,41.5833,-124.3433,11.02575779,33.64861599,18361.17744,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-28,41.9,-124.2717,12.05446309,33.64489445,5247.53578,1,0,0,0,1,0,0
SWFSC,June,2015,2015-06-28,41.9,-124.3542,10.65377898,33.74160566,7176.373014,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-28,41.9,-124.445,10.84345265,33.64903179,9045.058917,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-28,41.9,-124.445,10.49234505,33.76576481,9045.058917,0,0,0,0,0,0,0
SWFSC,June,2015,2015-06-28,41.9,-124.445,10.49234505,33.76576481,9045.058917,0,0,0,0,1,0,0
SWFSC,June,2015,2015-06-29,41.9,-124.445,11.16046845,33.73663149,9045.058917,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-29,41.9,-124.445,10.2923167,33.56544431,9045.058917,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-29,41.9,-124.445,10.2923167,33.56544431,9045.058917,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-30,42.5,-124.4917,11.36812637,33.61170498,4187.203113,1,0,0,0,0,0,0
SWFSC,June,2015,2015-06-30,42.5,-124.5417,11.65659995,33.5459898,6872.117871,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-17,46.67,-124.29,12.37488999,31.87102489,16895.61436,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-17,46.67,-124.29,12.37488999,31.87102489,16895.61436,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-18,47.92,-124.79,,,7871.869243,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-18,47.92,-124.79,,,7871.869243,1,0,0,0,1,0,0
SWFSC,June,2016,2016-06-19,47.53,-124.6,11.57396007,31.97228508,17146.29215,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-19,47.53,-124.6,11.57396007,31.97228508,17146.29215,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-20,47,-124.32,12.74793685,31.29010512,11050.8858,0,0,0,0,0,0,0
SWFSC,June,2016,2016-06-20,47,-124.32,12.74793685,31.29010512,11050.8858,0,0,0,0,0,0,0
SWFSC,June,2016,2016-06-21,46.17,-124.07,9.017977821,32.35201126,6680.844164,0,0,0,0,1,0,0
SWFSC,June,2016,2016-06-21,46.17,-124.07,9.017977821,32.35201126,6680.844164,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-21,46.17,-124.07,9.017977821,32.35201126,6680.844164,0,0,0,0,1,1,0
SWFSC,June,2016,2016-06-22,45.48,-124,9.847015047,32.29479046,1770.947084,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-22,45.48,-124,10.92075505,32.41807013,1770.947084,1,0,0,0,1,0,0
SWFSC,June,2016,2016-06-22,45.48,-124,10.92075505,32.41807013,1770.947084,1,0,0,0,1,0,0
SWFSC,June,2016,2016-06-23,44.67,-124.28,11.60161495,32.03934488,15756.88769,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-24,44,-124.2117,12.14494996,31.82501965,5522.359189,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-24,44,-124.2117,11.54246998,32.91403017,5522.359189,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-25,42.5,-124.5417,9.686615086,33.29129477,6872.117871,0,0,0,0,0,0,0
SWFSC,June,2016,2016-06-25,42.5,-124.5417,9.686615086,33.29129477,6872.117871,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-26,41.9,-124.2717,9.778224945,33.46245985,5247.53578,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-26,41.9,-124.2717,9.778224945,33.46245985,5247.53578,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-26,41.9,-124.3542,9.16458497,33.60730495,7176.373014,0,0,0,0,0,0,0
SWFSC,June,2016,2016-06-27,41.5833,-124.1583,9.958479977,32.34906015,3978.049421,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-27,41.5833,-124.1583,9.958479977,32.34906015,3978.049421,1,0,0,0,0,0,0
SWFSC,June,2016,2016-06-27,41.5833,-124.1583,9.958479977,32.34906015,3978.049421,0,0,0,0,0,0,0
SWFSC,June,2016,2016-06-28,41.0583,-124.2783,11.4517499,33.54598484,9082.818549,1,1,0,0,1,0,0
SWFSC,June,2016,2016-06-28,41.0583,-124.2783,11.4517499,33.54598484,9082.818549,1,1,0,0,0,0,0
SWFSC,June,2016,2016-06-29,40.6333,-124.4467,10.61787486,32.514605,9923.084971,1,1,0,0,0,0,0
SWFSC,June,2016,2016-06-30,39.25,-123.8292,8.659285021,33.45077982,3230.665388,0,0,0,0,0,0,0
SWFSC,June,2016,2016-06-30,39.25,-123.8292,8.912105083,33.06989517,3230.665388,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-01,44,-124.1708,8.825485039,33.64295025,2613.536762,1,0,1,0,0,0,0
SWFSC,July,2010,2010-07-01,44,-124.2117,9.420420074,33.43150024,5522.359189,1,0,1,0,0,0,0
SWFSC,July,2010,2010-07-01,44,-124.275,9.424744987,33.58430004,10438.2221,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-01,44,-124.39,10.95655508,33.61374969,19579.75179,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-01,44,-124.5067,12.51344485,33.3883503,28908.96509,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-02,43.2167,-124.4333,8.260905004,34.0125,2508.770601,1,0,0,0,1,0,0
SWFSC,July,2010,2010-07-02,43.2167,-124.4733,9.197999981,33.5778887,5734.748887,1,0,0,0,1,1,0
SWFSC,July,2010,2010-07-02,43.2167,-124.5633,9.657519913,33.21714983,13036.97877,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-02,43.2167,-124.655,10.32817001,32.64339952,20245.17996,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-02,43.2167,-124.77,12.70259991,32.06070013,28531.57011,1,1,0,0,0,0,1
SWFSC,July,2010,2010-07-03,42.5,-124.4917,8.143530059,33.87459965,4187.203113,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-03,42.5,-124.5417,8.784879923,33.63845043,6872.117871,1,0,0,0,1,0,0
SWFSC,July,2010,2010-07-03,42.5,-124.6,9.181690025,33.33134956,10391.01184,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-03,42.5,-124.6967,9.088824987,33.24699993,17608.57513,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-03,42.5,-124.81,9.939319944,33.0585495,26603.25683,1,1,0,0,0,0,0
SWFSC,July,2010,2010-07-04,41.9,-124.2717,7.708844972,33.88465023,5247.53578,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-04,41.9,-124.3542,7.468435001,33.91315022,7176.373014,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-04,41.9,-124.445,8.133029985,33.81520023,9045.058917,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-05,41.5833,-124.1583,7.843449974,33.7673996,3978.049421,1,0,0,0,1,0,0
SWFSC,July,2010,2010-07-05,41.5833,-124.2533,7.947990036,33.84399986,11752.29194,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-06,41.0583,-124.19,7.639799996,33.97673697,1761.560572,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-06,41.0583,-124.235,8.213911004,33.95699967,5458.685577,1,0,0,0,1,0,0
SWFSC,July,2010,2010-07-06,41.0583,-124.2783,8.569945049,33.91155014,9082.818549,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-06,41.0583,-124.3883,9.554724979,33.79149952,18317.36592,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-06,41.0583,-124.4983,9.468475008,33.65844994,27559.78594,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-07,40.6333,-124.3933,8.535405016,33.95359993,5763.378152,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-07,40.6333,-124.4467,8.828684855,33.95114975,9923.084971,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-07,40.6333,-124.5133,9.142880058,33.87219982,15171.83351,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-07,40.6333,-124.6233,9.329055119,33.95084991,23550.30167,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-07,40.6333,-124.7333,9.434920073,33.94420033,31586.96601,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-08,40.0333,-124.1083,8.96151495,33.9836998,2269.373705,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-08,40.0333,-124.1283,9.017379999,33.81445045,3965.74263,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-08,40.0333,-124.1933,10.16318007,33.4588501,9505.476521,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-08,40.0333,-124.3,10.48902507,33.3677002,14415.09441,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-08,40.0333,-124.4067,10.1573751,33.40874958,21012.30632,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-09,39.25,-123.8033,9.880060053,33.66385021,1324.577071,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-09,39.25,-123.8292,9.819289923,33.54794979,3230.665388,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-09,39.25,-123.8933,10.03405495,33.53814983,8339.537418,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-09,39.25,-124,10.99569993,33.33614998,17131.98873,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-09,39.25,-124.1083,11.62390013,33.1477005,26115.05225,0,0,0,0,0,0,1
SWFSC,July,2010,2010-07-10,38.75,-123.545,10.42620001,33.9914999,1296.533047,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-10,38.75,-123.5683,10.181705,34.13155041,3037.438819,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-10,38.75,-123.6217,9.659880066,34.24894981,5872.434329,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-10,38.75,-123.7283,10.36410007,33.9612505,12092.18054,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-10,38.75,-123.835,11.32414994,33.60409985,19452.18717,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-11,38.5,-123.2467,11.8527,33.80564995,861.5690384,0,0,1,0,0,0,0
SWFSC,July,2010,2010-07-11,38.5,-123.26,10.93859997,33.94559994,1274.946165,0,0,0,0,1,0,0
SWFSC,July,2010,2010-07-11,38.5,-123.3083,11.47375002,33.76899986,4256.291981,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-11,38.5,-123.415,10.5333199,33.90295048,10033.88917,0,0,0,0,0,0,0
SWFSC,July,2010,2010-07-11,38.5,-123.5633,11.0797401,33.68234978,20380.18584,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-12,37.8417,-122.695,12.31210008,33.5666502,5379.828133,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-12,37.8417,-122.8,11.96040006,34.09944992,9408.015499,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-12,37.8417,-123.025,10.746315,34.13010025,10455.41601,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-12,37.8417,-123.1933,10.85798001,33.9607996,10772.01817,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-12,37.8417,-123.3833,11.61314998,34.04995003,25431.88434,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-13,37.5,-122.5267,13.3765501,33.9566,1441.622068,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-13,37.5,-122.6067,12.61595001,34.14485016,8146.620577,1,0,1,0,0,0,0
SWFSC,July,2010,2010-07-13,37.5,-122.7583,11.89810004,33.98624973,21279.52637,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-13,37.5,-122.905,11.84629993,33.92515011,23164.24018,1,0,0,0,0,0,0
SWFSC,July,2010,2010-07-13,37.5,-123.01,12.64105,33.89649982,21461.75658,1,0,0,0,0,0,0
SWFSC,July,2011,2011-07-01,43.2167,-124.4333,10.49402494,33.05680008,2508.770601,0,0,0,0,1,0,0
SWFSC,July,2011,2011-07-01,43.2167,-124.4733,11.09778495,32.8427002,5734.748887,1,0,0,0,0,0,0
SWFSC,July,2011,2011-07-01,43.2167,-124.5633,11.28332505,32.70224972,13036.97877,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-01,43.2167,-124.655,10.52729001,32.23364992,20245.17996,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-01,43.2167,-124.77,11.28471585,31.78305244,28531.57011,0,1,0,0,0,0,0
SWFSC,July,2011,2011-07-02,42.5,-124.4917,8.591230106,33.57410069,4187.203113,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-02,42.5,-124.5417,8.566455126,33.47015038,6872.117871,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-02,42.5,-124.6,9.314464951,33.04519997,10391.01184,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-02,42.5,-124.6967,10.11549001,32.63720016,17608.57513,0,1,0,0,0,0,0
SWFSC,July,2011,2011-07-02,42.5,-124.81,11.25334992,32.34294987,26603.25683,0,1,0,0,0,0,0
SWFSC,July,2011,2011-07-03,41.9,-124.2717,8.642630005,33.7296999,5247.53578,1,0,0,0,1,0,0
SWFSC,July,2011,2011-07-03,41.9,-124.3542,8.960505009,33.7366497,7176.373014,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-03,41.9,-124.445,9.569631627,33.67447361,9045.058917,0,1,0,0,0,0,0
SWFSC,July,2011,2011-07-03,41.9,-124.5567,9.519689989,33.59854984,16559.68366,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-03,41.9,-124.6683,9.970889997,33.54760017,25263.08578,0,1,0,0,0,0,0
SWFSC,July,2011,2011-07-04,41.5833,-124.1583,9.251170063,33.42199974,3978.049421,0,1,0,0,0,0,0
SWFSC,July,2011,2011-07-04,41.5833,-124.2533,9.509040022,33.10484972,11752.29194,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-04,41.5833,-124.3433,9.616215086,33.6064003,18361.17744,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-04,41.5833,-124.4417,10.13900504,33.23084965,24654.94453,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-05,41.35,-124.1417,10.44568996,33.41490002,5176.509775,1,0,0,0,0,0,0
SWFSC,July,2011,2011-07-05,41.35,-124.2,10.57427998,33.18465042,9416.63973,1,0,0,0,0,0,0
SWFSC,July,2011,2011-07-05,41.35,-124.2767,9.975314903,33.36250038,15572.1337,1,1,0,0,0,0,0
SWFSC,July,2011,2011-07-05,41.35,-124.365,10.184375,33.38054981,22821.84403,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-06,41.0583,-124.3883,10.27711511,32.91269989,18317.36592,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-06,41.0583,-124.2783,10.7379149,33.22314968,9082.818549,0,1,0,0,0,0,0
SWFSC,July,2011,2011-07-06,41.0583,-124.235,10.36271491,33.41459942,5458.685577,0,0,0,0,0,0,0
SWFSC,July,2011,2011-07-06,41.0583,-124.19,9.446070051,33.65370026,1761.560572,0,0,0,0,0,0,0
